"name","sex","start","stop","cyst","death"
"Adelalew","M",8.28736025553274,8.85968514715948,0,0
"Aiwa","F",4.45163130276067,12.145106091718,0,0
"Alexandra","F",4.80766598220397,11.5730093543235,0,0
"Alice","F",23.4032626055213,23.9835728952772,1,1
"Amelia","F",4,5.87816563997262,0,0
"Ani","F",4.33413187314625,14.2040839607575,0,0
"Ant","F",4,7.02532511978097,0,0
"Apie","F",4,6.88569472963724,0,0
"Apie","F",6.88569472963724,7.27720739219713,1,1
"Apple","F",17.9603011635866,18.9869952087611,1,1
"Arlene","F",21.8261464750171,23.9834588181611,0,1
"Autumn","F",4,5.28964179785535,0,0
"Avatar","F",4,4.25199634953228,0,0
"Avon","M",8.25450604608715,12.1341546885695,0,0
"Babe","F",4.16712297513119,6.4558521560575,0,1
"Baggins","M",4,7.29374857403605,0,0
"Barbara","F",7.17043121149897,17.0677618069815,0,0
"Beatrice","F",7.68514715947981,14.3984713666439,0,0
"Beatrice","F",14.3984713666439,16.2355692448095,1,1
"Bee","F",5.4180926306183,13.1225188227242,0,0
"Benzine","M",10.5161989504905,11.8494182067077,0,0
"Betty","F",17.4456992927219,21.9849418206708,0,1
"Beverly","F",5.33048140543007,11.0280629705681,0,0
"Bianca","F",4,5.36082591832078,0,0
"Biera","F",4,5.70579511749943,0,0
"Bimbi","F",4,8.63803331051791,0,0
"Birtha","F",14.6421400866986,18.3052703627652,0,0
"Birtha","F",18.3052703627652,21.9849418206708,1,1
"Bitsy","F",4,4.87873602555327,0,1
"Blarney","F",4,6.19564225416381,0,1
"Blomkvist","M",4,5.07871321013005,0,0
"Bombolino","F",4.58042436687201,8.70362765229295,0,0
"Boo","F",4.61875427789186,6.48870636550308,0,0
"Boo","F",6.48870636550308,6.77891854893908,1,1
"Bossy","F",4,5.2513118868355,0,0
"Botox","F",4.22450376454483,6.50228154232261,0,0
"Boytjie","M",4,8.08761122518823,0,0
"Brenda","F",10.9048596851472,15.9890485968515,0,0
"Brindle","F",4,10.0670773442847,0,0
"Bronte","F",4.65149441022131,9.11978097193703,0,0
"Bryonny","F",17.1006160164271,24,0,0
"Bubba","M",9.80150581793292,12.6325576089436,1,0
"Buffy","F",4,7.31017567875884,0,0
"Bumblebee","M",8.85432352270135,14.6859456992927,0,0
"Buna","F",7.17043121149897,17.0677618069815,0,0
"Byork","F",4,5.44569929272188,0,0
"Cake","F",4.61875427789186,8.9719370294319,0,1
"Cali","F",17.4758156513803,24,1,0
"Capricorn","F",4,10.0670773442847,0,0
